#NAME	Kingdom	Phylum	Class	Order	Family	Genus	Species
ASV_2899	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	NA	NA
ASV_2945	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Petalonema ANT.LG2.8	NA
ASV_3001	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	NA	NA
ASV_3038	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA
ASV_3129	Bacteria	Cyanobacteria	Sericytochromatia	NA	NA	NA	NA
ASV_3138	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA
ASV_3286	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA
ASV_3328	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Cyanobacteriaceae	Symphothece PCC-7002	NA
ASV_3348	Bacteria	Cyanobacteria	Cyanobacteriia	Leptolyngbyales	Leptolyngbyaceae	Chamaesiphon PCC-7430	NA
ASV_3379	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Coleofasciculaceae	Wilmottia Ant-Ph58	murrayi
ASV_3459	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Scytonema UTEX 2349	NA
ASV_3463	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	NA	NA
ASV_3523	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	NA	NA
ASV_3530	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	NA	NA
ASV_3563	Bacteria	Cyanobacteria	Cyanobacteriia	Chloroplast	NA	NA	NA
ASV_3570	Bacteria	Cyanobacteria	Sericytochromatia	NA	NA	NA	NA
ASV_3574	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Nostocaceae	Scytonema UTEX 2349	NA
ASV_3631	Bacteria	Cyanobacteria	Cyanobacteriia	Cyanobacteriales	Chroococcidiopsaceae	NA	NA
ASV_3644	Bacteria	Cyanobacteria	Cyanobacteriia	Oxyphotobacteria Incertae Sedis	Unknown Family	CENA359	NA
